ID_Cliente,Edad,Tipo_Contrato,Cargos_Mensuales,Meses_Antiguedad,Abandono,Tipo_Contrato_Num,Abandono_Num
CLI-1000,64.0,Mensual,107.16448127820597,57.0,Si,1.0,1.0
CLI-1001,56.0,Mensual,102.6140622585501,66.0,No,1.0,0.0
CLI-1002,66.0,Anual,40.30860433083268,3.0,No,0.0,0.0
CLI-1003,53.0,Mensual,20.144994877106186,46.0,Si,1.0,1.0
CLI-1004,24.0,Mensual,73.46089804023867,65.0,Si,1.0,1.0
CLI-1005,51.0,Anual,65.39526843723242,44.0,Si,0.0,1.0
CLI-1006,51.0,Anual,111.55352641725669,4.0,No,0.0,0.0
CLI-1007,71.0,Anual,105.65565608331956,36.0,No,0.0,0.0
CLI-1008,21.0,Mensual,75.40904704739197,18.0,Si,1.0,1.0
CLI-1009,45.0,Anual,87.22367956799658,36.0,No,0.0,0.0
CLI-1010,48.0,Anual,41.85859468429761,51.0,Si,0.0,1.0
CLI-1011,57.0,Anual,100.65580443594112,4.0,Si,0.0,1.0
CLI-1012,64.0,Anual,61.64967569598169,37.0,No,0.0,0.0
CLI-1013,30.0,Anual,106.890193282591,14.0,Si,0.0,1.0
CLI-1015,82.0,Anual,75.26013106166323,59.0,No,0.0,0.0
CLI-1016,23.0,Mensual,32.33418836828767,26.0,No,1.0,0.0
CLI-1017,56.0,Mensual,100.89130987556926,64.0,Si,1.0,1.0
CLI-1018,31.0,Anual,73.34104417129618,52.0,No,0.0,0.0
CLI-1019,52.0,Mensual,57.77911183308734,42.0,No,1.0,0.0
CLI-1020,46.0,Anual,108.4158429654239,40.0,Si,0.0,1.0
CLI-1021,81.0,Mensual,87.53293525931142,3.0,Si,1.0,1.0
CLI-1022,83.0,Mensual,46.88498361973315,21.0,Si,1.0,1.0
CLI-1023,54.0,Anual,101.41739463836105,39.0,Si,0.0,1.0
CLI-1024,57.0,Mensual,68.84343139856425,23.0,Si,1.0,1.0
CLI-1025,44.0,Anual,96.25459040703348,4.0,No,0.0,0.0
CLI-1026,39.0,Mensual,114.04286913224428,4.0,Si,1.0,1.0
CLI-1027,51.0,Mensual,48.11796303665302,30.0,No,1.0,0.0
CLI-1028,80.0,Anual,37.22573990289142,11.0,No,0.0,0.0
CLI-1029,79.0,Anual,25.83734567912728,62.0,No,0.0,0.0
CLI-1030,61.0,Anual,75.81053174181233,18.0,Si,0.0,1.0
CLI-1031,82.0,Anual,103.70873100338888,53.0,No,0.0,0.0
CLI-1032,53.0,Anual,33.0765113903907,7.0,No,0.0,0.0
CLI-1033,32.0,Anual,33.036793929627954,40.0,Si,0.0,1.0
CLI-1034,31.0,Mensual,73.93974344725356,66.0,Si,1.0,1.0
CLI-1035,30.0,Anual,65.68571756517727,32.0,Si,0.0,1.0
CLI-1036,39.0,Mensual,23.240102212922423,15.0,Si,1.0,1.0
CLI-1037,29.0,Mensual,112.8702093858214,35.0,No,1.0,0.0
CLI-1038,78.0,Anual,113.69398368575759,56.0,Si,0.0,1.0
CLI-1039,76.0,Mensual,89.31752564192902,66.0,Si,1.0,1.0
CLI-1040,36.0,Anual,105.36468009936421,41.0,No,0.0,0.0
CLI-1041,57.0,Anual,49.77854412949131,50.0,Si,0.0,1.0
CLI-1042,32.0,Anual,82.33434724206104,25.0,Si,0.0,1.0
CLI-1043,26.0,Anual,21.698911978740714,37.0,No,0.0,0.0
CLI-1044,77.0,Mensual,79.59824844055774,9.0,No,1.0,0.0
CLI-1045,85.0,Anual,55.90161928781147,49.0,No,0.0,0.0
CLI-1046,75.0,Anual,62.37262927936294,38.0,Si,0.0,1.0
CLI-1047,25.0,Anual,107.36473498143245,14.0,Si,0.0,1.0
CLI-1048,51.0,Mensual,119.67313643223417,35.0,No,1.0,0.0
CLI-1049,67.0,Anual,36.58738488502004,68.0,No,0.0,0.0
CLI-1050,34.0,Mensual,75.01108394698056,16.0,Si,1.0,1.0
CLI-1051,26.0,Anual,26.375546855317705,6.0,No,0.0,0.0
CLI-1052,32.0,Mensual,86.40864166998252,38.0,No,1.0,0.0
CLI-1053,22.0,Mensual,112.29376422227858,13.0,No,1.0,0.0
CLI-1054,23.0,Mensual,88.76451192940482,5.0,Si,1.0,1.0
CLI-1055,42.0,Mensual,94.40953238314016,24.0,Si,1.0,1.0
CLI-1056,27.0,Mensual,65.87828762606432,46.0,Si,1.0,1.0
CLI-1057,40.0,Anual,32.820739129090875,24.0,No,0.0,0.0
CLI-1058,52.0,Mensual,100.95541354965385,52.0,No,1.0,0.0
CLI-1059,61.0,Mensual,100.70415802411904,31.0,No,1.0,0.0
CLI-1060,21.0,Mensual,93.58349844242352,58.0,Si,1.0,1.0
CLI-1061,21.0,Anual,51.99140511150258,20.0,No,0.0,0.0
CLI-1062,68.0,Anual,25.362787003924097,15.0,No,0.0,0.0
CLI-1063,40.0,Anual,57.40346601634405,44.0,Si,0.0,1.0
CLI-1064,34.0,Mensual,41.091114044366435,62.0,No,1.0,0.0
CLI-1065,51.0,Anual,108.16671062670324,4.0,Si,0.0,1.0
CLI-1066,83.0,Mensual,112.75642721879275,42.0,No,1.0,0.0
CLI-1067,21.0,Anual,117.44847150808995,9.0,No,0.0,0.0
CLI-1068,69.0,Anual,118.64803497992324,68.0,Si,0.0,1.0
CLI-1069,28.0,Mensual,45.43417727159203,68.0,No,1.0,0.0
CLI-1070,59.0,Mensual,45.20674426775427,67.0,No,1.0,0.0
CLI-1071,60.0,Anual,97.78190387082752,36.0,No,0.0,0.0
CLI-1072,41.0,Mensual,52.663771268567366,49.0,Si,1.0,1.0
CLI-1073,48.0,Anual,29.125722885109354,32.0,Si,0.0,1.0
CLI-1074,51.0,Anual,115.48661075769779,33.0,Si,0.0,1.0
CLI-1075,45.0,Anual,56.00230912342336,22.0,Si,0.0,1.0
CLI-1077,46.0,Mensual,119.61092729966279,27.0,Si,1.0,1.0
CLI-1078,45.0,Mensual,58.093116949127506,1.0,No,1.0,0.0
CLI-1079,72.0,Anual,52.34062984109144,72.0,Si,0.0,1.0
CLI-1080,59.0,Anual,60.124863004272605,55.0,Si,0.0,1.0
CLI-1081,31.0,Anual,112.68739083213008,34.0,No,0.0,0.0
CLI-1082,73.0,Anual,76.86142058286019,63.0,No,0.0,0.0
CLI-1083,65.0,Anual,79.52406311280743,58.0,Si,0.0,1.0
CLI-1084,56.0,Anual,68.41495056420302,69.0,Si,0.0,1.0
CLI-1085,85.0,Anual,87.35789964933015,42.0,Si,0.0,1.0
CLI-1086,51.0,Anual,44.69212084667845,61.0,No,0.0,0.0
CLI-1087,83.0,Anual,28.023117050705952,33.0,No,0.0,0.0
CLI-1088,40.0,Mensual,51.00092910592387,2.0,No,1.0,0.0
CLI-1089,73.0,Anual,107.79633488100433,29.0,No,0.0,0.0
CLI-1090,69.0,Anual,98.11264602749159,53.0,No,0.0,0.0
CLI-1091,71.0,Mensual,37.94529882938001,3.0,Si,1.0,1.0
CLI-1092,40.0,Anual,96.0982318975599,50.0,Si,0.0,1.0
CLI-1093,75.0,Mensual,113.09491884882388,56.0,Si,1.0,1.0
CLI-1094,71.0,Anual,106.97961072541243,27.0,Si,0.0,1.0
CLI-1095,44.0,Mensual,23.465412898526576,42.0,Si,1.0,1.0
CLI-1096,39.0,Anual,59.185151409166174,2.0,Si,0.0,1.0
CLI-1097,36.0,Mensual,70.47579130133276,14.0,Si,1.0,1.0
CLI-1098,39.0,Anual,35.7946352581772,20.0,No,0.0,0.0
CLI-1099,60.0,Anual,74.43667240400333,60.0,No,0.0,0.0
CLI-1100,45.0,Anual,64.49820680900882,51.0,Si,0.0,1.0
CLI-1101,25.0,Anual,31.66764193531109,40.0,Si,0.0,1.0
CLI-1102,56.0,Anual,30.70547192235459,8.0,No,0.0,0.0
CLI-1103,81.0,Anual,20.391490100932266,6.0,Si,0.0,1.0
CLI-1104,55.0,Mensual,90.93417990680267,15.0,No,1.0,0.0
CLI-1105,53.0,Mensual,47.059557712493586,27.0,Si,1.0,1.0
CLI-1106,42.0,Mensual,119.93542946889274,65.0,No,1.0,0.0
CLI-1107,84.0,Mensual,115.59519649060809,25.0,No,1.0,0.0
CLI-1108,60.0,Anual,63.61310740549473,5.0,Si,0.0,1.0
CLI-1109,24.0,Mensual,54.912605862643446,31.0,No,1.0,0.0
CLI-1110,85.0,Mensual,46.9777323986153,67.0,No,1.0,0.0
CLI-1111,31.0,Anual,35.903259189389274,39.0,Si,0.0,1.0
CLI-1112,21.0,Anual,39.0102262475679,41.0,No,0.0,0.0
CLI-1113,50.0,Mensual,40.57861745889096,20.0,No,1.0,0.0
CLI-1114,19.0,Mensual,58.596387999700255,63.0,No,1.0,0.0
CLI-1115,47.0,Mensual,62.00908707342006,55.0,Si,1.0,1.0
CLI-1116,53.0,Anual,61.75015321213025,52.0,Si,0.0,1.0
CLI-1117,62.0,Mensual,101.81250117977412,39.0,Si,1.0,1.0
CLI-1118,51.0,Mensual,94.15436322764577,44.0,Si,1.0,1.0
CLI-1119,53.0,Mensual,115.38119750416934,65.0,Si,1.0,1.0
CLI-1120,57.0,Anual,45.5345500317389,58.0,No,0.0,0.0
CLI-1121,75.0,Mensual,58.338168885183144,12.0,Si,1.0,1.0
CLI-1122,22.0,Mensual,113.31533777428417,14.0,Si,1.0,1.0
CLI-1123,44.0,Anual,23.275352248899033,2.0,Si,0.0,1.0
CLI-1124,62.0,Mensual,92.62969446117843,3.0,Si,1.0,1.0
CLI-1125,69.0,Anual,99.12554701974777,7.0,No,0.0,0.0
CLI-1126,84.0,Anual,93.41927400153153,60.0,No,0.0,0.0
CLI-1127,74.0,Anual,114.31183744070051,22.0,No,0.0,0.0
CLI-1128,68.0,Anual,67.27869145989257,42.0,Si,0.0,1.0
CLI-1129,51.0,Anual,44.01672748528806,41.0,No,0.0,0.0
CLI-1130,82.0,Mensual,94.16942360150279,61.0,No,1.0,0.0
CLI-1132,75.0,Anual,100.7696392118356,60.0,Si,0.0,1.0
CLI-1133,32.0,Mensual,106.3897565168313,21.0,Si,1.0,1.0
CLI-1134,57.0,Mensual,106.35887929089601,20.0,Si,1.0,1.0
CLI-1135,51.0,Mensual,38.1123375908351,6.0,No,1.0,0.0
CLI-1136,44.0,Anual,61.93251288128915,62.0,No,0.0,0.0
CLI-1137,56.0,Mensual,39.64481889357309,27.0,No,1.0,0.0
CLI-1138,33.0,Mensual,42.35281647224238,5.0,No,1.0,0.0
CLI-1139,83.0,Mensual,119.90657708793724,56.0,Si,1.0,1.0
CLI-1140,24.0,Mensual,40.26555831392977,66.0,Si,1.0,1.0
CLI-1141,51.0,Mensual,64.4892768444251,21.0,No,1.0,0.0
CLI-1142,75.0,Anual,117.08389224964803,50.0,Si,0.0,1.0
CLI-1143,62.0,Anual,44.494931816102536,71.0,No,0.0,0.0
CLI-1144,47.0,Anual,68.87610621266506,40.0,No,0.0,0.0
CLI-1145,81.0,Mensual,70.00336823149568,60.0,Si,1.0,1.0
CLI-1146,85.0,Mensual,62.50072447470474,13.0,Si,1.0,1.0
CLI-1147,58.0,Mensual,116.55989629331967,12.0,Si,1.0,1.0
CLI-1148,50.0,Mensual,32.436524292673646,25.0,Si,1.0,1.0
CLI-1149,59.0,Mensual,72.82300157126338,7.0,Si,1.0,1.0
CLI-1150,63.0,Mensual,43.61730416908837,68.0,Si,1.0,1.0
CLI-1151,76.0,Mensual,119.11798573241224,18.0,No,1.0,0.0
CLI-1152,61.0,Anual,100.67027591956332,11.0,Si,0.0,1.0
CLI-1153,70.0,Mensual,111.38000991588498,19.0,Si,1.0,1.0
CLI-1155,73.0,Anual,26.51135469789842,33.0,Si,0.0,1.0
CLI-1156,46.0,Anual,49.87511921910038,45.0,No,0.0,0.0
CLI-1157,38.0,Anual,103.79519649342845,46.0,Si,0.0,1.0
CLI-1158,43.0,Anual,50.659741556900876,27.0,No,0.0,0.0
CLI-1159,39.0,Mensual,97.27386921823353,59.0,Si,1.0,1.0
CLI-1160,37.0,Mensual,30.183453890225067,66.0,Si,1.0,1.0
CLI-1161,36.0,Anual,39.86496923056498,59.0,Si,0.0,1.0
CLI-1162,27.0,Mensual,42.8468233772694,23.0,Si,1.0,1.0
CLI-1163,52.0,Anual,88.5156339929726,59.0,Si,0.0,1.0
CLI-1164,51.0,Anual,54.78095497978797,26.0,Si,0.0,1.0
CLI-1165,37.0,Mensual,98.68094498336445,42.0,Si,1.0,1.0
CLI-1166,58.0,Anual,73.61638730217514,71.0,Si,0.0,1.0
CLI-1167,75.0,Anual,53.085216587965235,65.0,No,0.0,0.0
CLI-1168,54.0,Mensual,20.801779392824532,53.0,Si,1.0,1.0
CLI-1169,60.0,Anual,33.60055207192043,14.0,Si,0.0,1.0
CLI-1170,62.0,Anual,115.45537493519655,1.0,Si,0.0,1.0
CLI-1171,81.0,Mensual,93.17061172389361,35.0,Si,1.0,1.0
CLI-1172,82.0,Anual,74.19744120891286,16.0,No,0.0,0.0
CLI-1173,30.0,Mensual,45.47697992430804,9.0,Si,1.0,1.0
CLI-1174,84.0,Mensual,33.92603758503843,50.0,No,1.0,0.0
CLI-1175,57.0,Anual,44.66364302296299,49.0,No,0.0,0.0
CLI-1176,24.0,Mensual,79.51719811370407,31.0,No,1.0,0.0
CLI-1177,40.0,Anual,82.12545294502745,44.0,Si,0.0,1.0
CLI-1178,62.0,Mensual,110.88788249623997,38.0,No,1.0,0.0
CLI-1179,61.0,Mensual,68.75035238026057,49.0,No,1.0,0.0
CLI-1180,53.0,Anual,62.51891490895083,27.0,Si,0.0,1.0
CLI-1181,42.0,Anual,43.9022411858879,24.0,Si,0.0,1.0
CLI-1182,37.0,Mensual,106.15594155968508,34.0,Si,1.0,1.0
CLI-1183,45.0,Mensual,38.3120685140257,52.0,Si,1.0,1.0
CLI-1184,60.0,Mensual,72.81412310813403,9.0,Si,1.0,1.0
CLI-1185,75.0,Mensual,37.662081167161176,3.0,No,1.0,0.0
CLI-1186,77.0,Anual,78.82705885558099,40.0,Si,0.0,1.0
CLI-1187,67.0,Mensual,117.8033411996433,44.0,No,1.0,0.0
CLI-1188,51.0,Anual,94.81729187486931,18.0,No,0.0,0.0
CLI-1189,73.0,Anual,48.60593110936894,51.0,Si,0.0,1.0
CLI-1190,43.0,Anual,88.5588134551214,8.0,No,0.0,0.0
CLI-1191,39.0,Mensual,91.52162060897983,24.0,Si,1.0,1.0
CLI-1192,26.0,Anual,33.91479771469024,19.0,No,0.0,0.0
CLI-1193,26.0,Anual,103.94438741865913,27.0,Si,0.0,1.0
CLI-1194,39.0,Mensual,64.41074683851248,63.0,No,1.0,0.0
CLI-1195,65.0,Anual,51.53958756143371,14.0,Si,0.0,1.0
CLI-1196,56.0,Mensual,30.39757411391443,17.0,Si,1.0,1.0
CLI-1197,41.0,Mensual,42.235221642044124,24.0,Si,1.0,1.0
CLI-1198,61.0,Anual,53.779117418080276,67.0,No,0.0,0.0
CLI-1199,45.0,Anual,108.44302429022176,28.0,No,0.0,0.0
CLI-1201,59.0,Mensual,99.94776668001644,36.0,No,1.0,0.0
CLI-1202,68.0,Anual,47.75485902486692,12.0,No,0.0,0.0
CLI-1203,84.0,Mensual,54.62980985698228,36.0,No,1.0,0.0
CLI-1204,71.0,Mensual,40.498675642002674,63.0,No,1.0,0.0
CLI-1205,48.0,Anual,64.6498864933424,47.0,Si,0.0,1.0
CLI-1206,67.0,Mensual,71.42875144011013,67.0,No,1.0,0.0
CLI-1207,35.0,Anual,29.606217189046152,16.0,Si,0.0,1.0
CLI-1208,18.0,Anual,106.74232289536953,64.0,No,0.0,0.0
CLI-1209,67.0,Mensual,67.84007680823348,47.0,No,1.0,0.0
CLI-1210,85.0,Anual,103.99317026379535,67.0,Si,0.0,1.0
CLI-1211,80.0,Mensual,33.423513647170196,8.0,Si,1.0,1.0
CLI-1212,48.0,Anual,64.78207723507454,1.0,Si,0.0,1.0
CLI-1213,46.0,Anual,93.20812268581189,49.0,No,0.0,0.0
CLI-1214,43.0,Mensual,114.83099686690201,25.0,No,1.0,0.0
CLI-1215,51.0,Mensual,64.36314826749162,20.0,Si,1.0,1.0
CLI-1216,79.0,Anual,113.83828118368936,54.0,No,0.0,0.0
CLI-1217,48.0,Anual,107.28237291145712,57.0,Si,0.0,1.0
CLI-1218,54.0,Anual,73.57213772845147,62.0,Si,0.0,1.0
CLI-1219,51.0,Mensual,27.71997877006958,52.0,Si,1.0,1.0
CLI-1221,19.0,Mensual,64.37952359077316,41.0,No,1.0,0.0
CLI-1222,35.0,Anual,67.71408623784669,64.0,No,0.0,0.0
CLI-1223,68.0,Anual,81.2890908750259,65.0,No,0.0,0.0
CLI-1224,60.0,Anual,110.26557156276792,57.0,No,0.0,0.0
CLI-1225,67.0,Anual,32.04896251951649,33.0,No,0.0,0.0
CLI-1226,85.0,Mensual,69.5169101667055,17.0,Si,1.0,1.0
CLI-1227,51.0,Mensual,71.9003611533124,18.0,No,1.0,0.0
CLI-1228,41.0,Anual,75.80526738964954,67.0,Si,0.0,1.0
CLI-1229,44.0,Anual,99.74556595903401,12.0,No,0.0,0.0
CLI-1230,20.0,Anual,80.03764836584844,44.0,Si,0.0,1.0
CLI-1231,69.0,Mensual,119.12009004099627,32.0,No,1.0,0.0
CLI-1232,79.0,Mensual,78.70885200194843,27.0,No,1.0,0.0
CLI-1233,53.0,Anual,31.529958644349257,66.0,No,0.0,0.0
CLI-1234,66.0,Anual,113.305168685838,43.0,Si,0.0,1.0
CLI-1235,26.0,Mensual,40.22352517007712,15.0,Si,1.0,1.0
CLI-1236,53.0,Mensual,92.32843108790529,58.0,Si,1.0,1.0
CLI-1237,37.0,Anual,119.05129835134971,4.0,No,0.0,0.0
CLI-1238,45.0,Mensual,48.74905348169655,34.0,No,1.0,0.0
CLI-1239,30.0,Anual,63.34300521222437,9.0,No,0.0,0.0
CLI-1240,53.0,Anual,97.06965034858298,1.0,Si,0.0,1.0
CLI-1241,57.0,Mensual,98.98598332981446,1.0,Si,1.0,1.0
CLI-1242,54.0,Mensual,118.14584982270836,62.0,Si,1.0,1.0
CLI-1243,22.0,Mensual,92.75259415959688,38.0,No,1.0,0.0
